orig,dest,pair,prob,topic
728,634,"(728,634)",0.0018215848561143628,1
681,682,"(681,682)",0.0016985253377505335,1
683,775,"(683,775)",0.0016651371812627105,1
729,681,"(729,681)",0.0015904660010631992,1
729,868,"(729,868)",0.0015357524431692353,1
775,635,"(775,635)",0.00150780617307715,1
774,73,"(774,73)",0.001446150594917912,1
731,776,"(731,776)",0.0014366275868567219,1
785,821,"(785,821)",0.0014326765253767713,1
962,775,"(962,775)",0.0014207893126937396,1
775,82,"(775,82)",0.001400046984169759,1
1449,822,"(1449,822)",0.001381842219618224,1
822,785,"(822,785)",0.0013571794801248633,1
145,822,"(145,822)",0.0013397505996378043,1
82,775,"(82,775)",0.0013077293588503354,1
868,729,"(868,729)",0.0013038238623535759,1
682,775,"(682,775)",0.001287872768819329,1
869,785,"(869,785)",0.0012829236490293674,1
868,1056,"(868,1056)",0.0012707403914361867,1
729,821,"(729,821)",0.0012544259539186164,1
737,915,"(737,915)",0.0012217346319905215,1
684,73,"(684,73)",0.0012061074309655492,1
776,731,"(776,731)",0.0012007894299074814,1
822,682,"(822,682)",0.0011982176573415917,1
774,727,"(774,727)",0.001194228039734747,1
777,824,"(777,824)",0.0011888723549868256,1
868,101,"(868,101)",0.001182232909787507,1
87,776,"(87,776)",0.0011803039854259112,1
681,729,"(681,729)",0.0011700866566723592,1
867,1009,"(867,1009)",0.00116639717984683,1
776,914,"(776,914)",0.001162456457379983,1
822,635,"(822,635)",0.001155353679670239,1
727,774,"(727,774)",0.001151832358387422,1
682,681,"(682,681)",0.0011507898583369112,1
1449,821,"(1449,821)",0.0011394008492451658,1
775,1008,"(775,1008)",0.0011094250391467041,1
777,961,"(777,961)",0.0011089381769760049,1
916,101,"(916,101)",0.0011068875958776668,1
729,729,"(729,729)",0.0010969989681262195,1
634,588,"(634,588)",0.0010944170588165984,1
1008,775,"(1008,775)",0.0010825111753713001,1
868,773,"(868,773)",0.001081125125009019,1
73,684,"(73,684)",0.0010791910544891827,1
727,821,"(727,821)",0.00106479380216707,1
775,961,"(775,961)",0.001063878922272579,1
635,73,"(635,73)",0.0010576019857294159,1
776,727,"(776,727)",0.0010574180592122224,1
822,145,"(822,145)",0.001051685342933898,1
82,774,"(82,774)",0.0010509593335055747,1
867,775,"(867,775)",0.0010484853031184611,1
145,869,"(145,869)",0.001045864319755841,1
634,728,"(634,728)",0.0010344407030688238,1
776,682,"(776,682)",0.0010333403643990888,1
145,821,"(145,821)",0.0010318566982629874,1
822,731,"(822,731)",0.0010316135952772284,1
728,914,"(728,914)",0.0010314251827301594,1
1008,776,"(1008,776)",0.0010282993515719782,1
683,868,"(683,868)",0.0010158216459061561,1
821,635,"(821,635)",0.0010112752477273294,1
737,823,"(737,823)",0.000978086105039499,1
682,683,"(682,683)",0.00097596403002319,1
774,961,"(774,961)",0.0009747066861294971,1
824,776,"(824,776)",0.0009743153745951378,1
635,634,"(635,634)",0.0009726505458435264,1
1402,822,"(1402,822)",0.0009714400525771497,1
963,101,"(963,101)",0.000970070293026599,1
776,635,"(776,635)",0.000965867919794087,1
731,823,"(731,823)",0.0009615717320241682,1
915,683,"(915,683)",0.0009601802027164469,1
824,823,"(824,823)",0.0009593605020958756,1
1101,916,"(1101,916)",0.0009588995192688194,1
73,778,"(73,778)",0.000957136372848405,1
73,637,"(73,637)",0.0009520747395820651,1
962,82,"(962,82)",0.0009498306070517108,1
1102,1008,"(1102,1008)",0.0009473506542154369,1
961,82,"(961,82)",0.0009408175178888765,1
73,774,"(73,774)",0.0009398838799568423,1
73,59,"(73,59)",0.0009364739836877713,1
867,82,"(867,82)",0.0009340622953650058,1
916,728,"(916,728)",0.0009316594543373445,1
682,635,"(682,635)",0.0009301456105908669,1
776,961,"(776,961)",0.0009289789820760952,1
1055,821,"(1055,821)",0.0009274108594388131,1
101,1008,"(101,1008)",0.0009202725686353619,1
729,635,"(729,635)",0.0009188528333922666,1
1449,869,"(1449,869)",0.000917954380075688,1
1101,962,"(1101,962)",0.0009166562266093591,1
868,785,"(868,785)",0.0009120550605081401,1
87,87,"(87,87)",0.0009113131485281415,1
869,145,"(869,145)",0.0009108166186905145,1
918,918,"(918,918)",0.0009013204970358044,1
775,588,"(775,588)",0.0009011233081540755,1
728,82,"(728,82)",0.0008922293798691498,1
821,773,"(821,773)",0.0008910028387255851,1
777,635,"(777,635)",0.0008881855385267814,1
914,728,"(914,728)",0.000887810639291269,1
821,683,"(821,683)",0.0008856833657542632,1
774,962,"(774,962)",0.0008847251146875034,1
683,731,"(683,731)",0.0008789172676347019,1
727,775,"(727,775)",0.0008786918741896263,1
87,775,"(87,775)",0.0008760926159801188,1
87,824,"(87,824)",0.0008748834443240964,1
775,634,"(775,634)",0.0008742526159808056,1
775,867,"(775,867)",0.000869070910973133,1
1101,823,"(1101,823)",0.000866299539271478,1
915,1056,"(915,1056)",0.0008644290241212518,1
