orig,dest,pair,prob,topic
727,822,"(727,822)",0.003396588087406476,3
822,785,"(822,785)",0.0033801419018328538,3
869,785,"(869,785)",0.0027067406922205665,3
682,822,"(682,822)",0.0022846376008460578,3
1102,869,"(1102,869)",0.0022428900905005155,3
635,822,"(635,822)",0.002241160721222449,3
683,775,"(683,775)",0.002220727435509299,3
683,868,"(683,868)",0.0022034396513200727,3
868,737,"(868,737)",0.0021102639593608735,3
681,729,"(681,729)",0.00210942865656255,3
727,775,"(727,775)",0.002056557930478461,3
868,729,"(868,729)",0.00201659844348332,3
731,823,"(731,823)",0.002003589956892018,3
729,868,"(729,868)",0.0019922020058559683,3
824,823,"(824,823)",0.0019827248718469934,3
821,785,"(821,785)",0.001958788043154995,3
683,682,"(683,682)",0.0019389729732190075,3
87,776,"(87,776)",0.001854551997265441,3
682,776,"(682,776)",0.0018487610531442544,3
731,683,"(731,683)",0.0018464716143320426,3
635,775,"(635,775)",0.001818002972717682,3
822,784,"(822,784)",0.0017839030716503112,3
73,59,"(73,59)",0.0017719695183695755,3
776,824,"(776,824)",0.001758252950310661,3
824,869,"(824,869)",0.0017540489952044063,3
823,737,"(823,737)",0.00174838447154205,3
682,683,"(682,683)",0.0017429998875110985,3
681,682,"(681,682)",0.0017423828438831244,3
635,682,"(635,682)",0.0017275348572117048,3
785,821,"(785,821)",0.0017065058450776369,3
1102,822,"(1102,822)",0.0016924092232470402,3
776,682,"(776,682)",0.0016901129761318805,3
729,681,"(729,681)",0.001687764913471907,3
774,776,"(774,776)",0.0016769718024364382,3
731,822,"(731,822)",0.0016645664914148573,3
824,822,"(824,822)",0.0016622783669314534,3
915,737,"(915,737)",0.0016398534613844622,3
916,1054,"(916,1054)",0.0016042196068166872,3
588,822,"(588,822)",0.0015994882509421005,3
869,824,"(869,824)",0.0015968495324898378,3
1054,1007,"(1054,1007)",0.001591880018050557,3
634,728,"(634,728)",0.001591167520484846,3
682,775,"(682,775)",0.0015840296323700461,3
683,59,"(683,59)",0.0015833609196584124,3
777,824,"(777,824)",0.0015778156996700224,3
1101,823,"(1101,823)",0.0015682482395571644,3
729,821,"(729,821)",0.0015459840695991316,3
784,822,"(784,822)",0.0015387680826976578,3
821,729,"(821,729)",0.0015220066683550883,3
785,868,"(785,868)",0.0015036130267725063,3
682,681,"(682,681)",0.0014994134703791055,3
868,785,"(868,785)",0.0014679839897747602,3
822,145,"(822,145)",0.0014592453599044676,3
731,776,"(731,776)",0.0014512733902693677,3
727,821,"(727,821)",0.001450095921342205,3
823,1101,"(823,1101)",0.0014415176135791205,3
727,868,"(727,868)",0.0014401933099999751,3
916,1102,"(916,1102)",0.0014327001906969596,3
737,823,"(737,823)",0.0014123824382543026,3
635,73,"(635,73)",0.00141064616853069,3
916,1101,"(916,1101)",0.0014049827289143895,3
737,915,"(737,915)",0.0014044394946770376,3
727,869,"(727,869)",0.0013944412818606704,3
82,867,"(82,867)",0.001382969612994659,3
1101,1102,"(1101,1102)",0.0013818658850581977,3
823,785,"(823,785)",0.0013789663080493377,3
82,774,"(82,774)",0.0013754707772542832,3
727,823,"(727,823)",0.001367506666380628,3
682,823,"(682,823)",0.001363967040891964,3
683,731,"(683,731)",0.0013600763677926928,3
73,774,"(73,774)",0.00135429275298541,3
73,824,"(73,824)",0.0013331291510369494,3
776,774,"(776,774)",0.00133282921788096,3
729,729,"(729,729)",0.0013289167816379326,3
1054,823,"(1054,823)",0.0013222705199315082,3
1054,867,"(1054,867)",0.001302894555465054,3
784,869,"(784,869)",0.0013014089064687481,3
731,869,"(731,869)",0.0013000834297010313,3
729,915,"(729,915)",0.0012950274472912553,3
868,824,"(868,824)",0.0012849455810018864,3
727,774,"(727,774)",0.0012648073390681513,3
1054,1102,"(1054,1102)",0.0012553802049265219,3
634,588,"(634,588)",0.0012508372085086115,3
963,87,"(963,87)",0.00124638376851698,3
635,776,"(635,776)",0.0012381694874035944,3
1101,1007,"(1101,1007)",0.0012361184776563967,3
101,1008,"(101,1008)",0.0012349932694752106,3
1102,823,"(1102,823)",0.001231642871872478,3
869,784,"(869,784)",0.0012256802668802972,3
824,776,"(824,776)",0.0012193904472501,3
823,1102,"(823,1102)",0.0012185773991597551,3
915,785,"(915,785)",0.001213227283099425,3
777,682,"(777,682)",0.0012013792097730464,3
683,915,"(683,915)",0.001200976368012957,3
1007,822,"(1007,822)",0.00119637191013959,3
1102,1054,"(1102,1054)",0.0011940341378053293,3
824,868,"(824,868)",0.0011918245039134817,3
918,918,"(918,918)",0.0011863367587310809,3
775,82,"(775,82)",0.0011859846165295305,3
775,1008,"(775,1008)",0.001179006485400783,3
87,87,"(87,87)",0.0011731672205533888,3
684,73,"(684,73)",0.001172066440631656,3
683,821,"(683,821)",0.001170268165124944,3
867,1054,"(867,1054)",0.001150085283756976,3
588,588,"(588,588)",0.0011471126139215781,3
729,682,"(729,682)",0.0011456333814637155,3
87,775,"(87,775)",0.0011431095572548655,3
869,145,"(869,145)",0.0011422343150096488,3
145,821,"(145,821)",0.0011394677236104844,3
1102,868,"(1102,868)",0.0011386520327853152,3
822,1102,"(822,1102)",0.0011363022274445982,3
728,634,"(728,634)",0.0011343627887063928,3
776,731,"(776,731)",0.0011335500452380185,3
101,868,"(101,868)",0.001128957046376153,3
1102,1008,"(1102,1008)",0.0011280611780589236,3
82,775,"(82,775)",0.0011275924098389798,3
961,1007,"(961,1007)",0.0011266510896892625,3
868,1102,"(868,1102)",0.0011256058588436353,3
82,82,"(82,82)",0.0011241171985016014,3
823,1054,"(823,1054)",0.0011208095032570371,3
777,1008,"(777,1008)",0.0011149248148712308,3
777,1101,"(777,1101)",0.001108451539441948,3
682,729,"(682,729)",0.0011084307242123837,3
1102,1101,"(1102,1101)",0.0011026152931111536,3
1055,1102,"(1055,1102)",0.0011013670063923493,3
915,729,"(915,729)",0.0010955169299105656,3
777,963,"(777,963)",0.0010916157291301402,3
823,867,"(823,867)",0.0010846775421107832,3
101,869,"(101,869)",0.0010805109153781752,3
916,737,"(916,737)",0.0010738477608321485,3
82,1008,"(82,1008)",0.0010718145083109475,3
588,634,"(588,634)",0.00107042003171784,3
101,915,"(101,915)",0.0010691052098663434,3
774,588,"(774,588)",0.0010669348569224341,3
682,777,"(682,777)",0.0010666210201826876,3
634,683,"(634,683)",0.0010654252523604126,3
1102,1055,"(1102,1055)",0.001058276506884955,3
821,1055,"(821,1055)",0.0010581926801381954,3
867,82,"(867,82)",0.0010534202932703746,3
635,821,"(635,821)",0.0010499470407061683,3
634,822,"(634,822)",0.001049672676767654,3
775,737,"(775,737)",0.0010479475665034607,3
963,777,"(963,777)",0.0010396905689693946,3
73,588,"(73,588)",0.001039102650002094,3
737,775,"(737,775)",0.0010390173709754643,3
635,869,"(635,869)",0.0010385985622816242,3
1101,962,"(1101,962)",0.0010373534821352547,3
775,867,"(775,867)",0.001036560206165071,3
776,1008,"(776,1008)",0.0010314344058821084,3
867,775,"(867,775)",0.0010295932661338984,3
145,822,"(145,822)",0.0010289075523386665,3
588,775,"(588,775)",0.0010282549952070582,3
785,823,"(785,823)",0.001027530023583341,3
774,1054,"(774,1054)",0.0010254834944842138,3
588,683,"(588,683)",0.0010237851450031832,3
822,1449,"(822,1449)",0.0010194875335270356,3
635,823,"(635,823)",0.0010134541714898707,3
73,778,"(73,778)",0.0010132105159560076,3
915,1102,"(915,1102)",0.0010106347632140398,3
777,774,"(777,774)",0.0010037407910779583,3
82,1054,"(82,1054)",0.001003517940768424,3
823,682,"(823,682)",0.0009971835305416657,3
1008,775,"(1008,775)",0.0009967777836185215,3
822,1402,"(822,1402)",0.0009952055758106785,3
1402,822,"(1402,822)",0.0009940377598268314,3
681,915,"(681,915)",0.000985585902566773,3
821,145,"(821,145)",0.0009827824267661788,3
682,869,"(682,869)",0.0009798612976099168,3
87,963,"(87,963)",0.0009763579078590236,3
683,588,"(683,588)",0.000972795125575176,3
588,682,"(588,682)",0.0009697441527117726,3
73,737,"(73,737)",0.0009685337218768667,3
1101,867,"(1101,867)",0.0009669474445794803,3
962,775,"(962,775)",0.0009538371970696541,3
785,915,"(785,915)",0.0009534654644362627,3
145,869,"(145,869)",0.0009528299024811851,3
1449,822,"(1449,822)",0.0009499648882361192,3
728,867,"(728,867)",0.0009493502612046143,3
916,1055,"(916,1055)",0.0009442439092173813,3
635,774,"(635,774)",0.0009440114925898421,3
635,868,"(635,868)",0.0009395850824638883,3
869,1449,"(869,1449)",0.0009382697860758572,3
777,737,"(777,737)",0.000935087366975202,3
1007,915,"(1007,915)",0.0009314080091859786,3
776,914,"(776,914)",0.0009256748223806655,3
867,823,"(867,823)",0.00092115337620706,3
728,82,"(728,82)",0.0009195899134856519,3
963,1102,"(963,1102)",0.0009174477192911006,3
774,777,"(774,777)",0.0009096661913752924,3
1101,737,"(1101,737)",0.0009092687663579447,3
731,868,"(731,868)",0.0009082623996167841,3
82,1101,"(82,1101)",0.0009067586520235104,3
1007,869,"(1007,869)",0.000905627208922209,3
915,1007,"(915,1007)",0.0009040791191989773,3
868,1007,"(868,1007)",0.0009034598665333824,3
778,823,"(778,823)",0.0009029067105260196,3
