orig,dest,pair,prob,topic
1009,73,"(1009,73)",0.0037915392915337533,4
1009,1059,"(1009,1059)",0.0024671556601812456,4
1056,916,"(1056,916)",0.002458084093448498,4
914,73,"(914,73)",0.002277744068028322,4
1056,961,"(1056,961)",0.0020894204902797793,4
1056,963,"(1056,963)",0.002007364623680629,4
914,777,"(914,777)",0.001923988686542993,4
1056,914,"(1056,914)",0.001922035860848035,4
101,916,"(101,916)",0.0018400811951396281,4
914,1102,"(914,1102)",0.0018256903040237413,4
1056,1008,"(1056,1008)",0.001814541761781313,4
1059,1012,"(1059,1012)",0.0018119198894232338,4
914,1056,"(914,1056)",0.0017500230832866906,4
1056,868,"(1056,868)",0.0017052742848910722,4
1059,1013,"(1059,1013)",0.0016926327691512597,4
1056,1056,"(1056,1056)",0.001679385771972103,4
1059,106,"(1059,106)",0.0016703185407690902,4
914,728,"(914,728)",0.0016580735145842289,4
1056,101,"(1056,101)",0.0016371546216382435,4
101,963,"(101,963)",0.0016108854529147641,4
1009,728,"(1009,728)",0.0016005716988582736,4
1059,1108,"(1059,1108)",0.0016003582344193265,4
1059,1059,"(1059,1059)",0.0015901749889728832,4
101,961,"(101,961)",0.0015832611231514143,4
1056,1059,"(1056,1059)",0.0015704079607957377,4
1059,1107,"(1059,1107)",0.0015415757369441894,4
821,635,"(821,635)",0.0015076655617066992,4
1059,1155,"(1059,1155)",0.001506632815445404,4
1059,965,"(1059,965)",0.0015040522992055326,4
961,73,"(961,73)",0.0015020618095586372,4
821,963,"(821,963)",0.0015000487742249135,4
961,777,"(961,777)",0.001376799328596308,4
961,1056,"(961,1056)",0.0013762776931470558,4
1009,106,"(1009,106)",0.0013587190727964156,4
1056,1055,"(1056,1055)",0.0013559533631760101,4
1009,774,"(1009,774)",0.0013335989897512732,4
962,1102,"(962,1102)",0.0013220108245561497,4
1056,1101,"(1056,1101)",0.0012986693338996286,4
1059,1009,"(1059,1009)",0.0012964059630242491,4
914,87,"(914,87)",0.0012956233523314519,4
1056,915,"(1056,915)",0.0012918634099513685,4
1059,1056,"(1059,1056)",0.0012899035759651883,4
961,1102,"(961,1102)",0.0012855915156099159,4
961,774,"(961,774)",0.0012800295056454225,4
1056,1102,"(1056,1102)",0.0012743451826678798,4
1008,73,"(1008,73)",0.0012659954698997031,4
1056,869,"(1056,869)",0.0012418742448720471,4
1056,821,"(1056,821)",0.0012409598069258977,4
101,914,"(101,914)",0.0012390260589368231,4
914,681,"(914,681)",0.0012356228663606603,4
821,589,"(821,589)",0.0012259168007504716,4
1012,1059,"(1012,1059)",0.0012184521234406061,4
101,1056,"(101,1056)",0.001212275355234745,4
1056,73,"(1056,73)",0.0012018060963972191,4
961,82,"(961,82)",0.0011872627535056352,4
1009,1058,"(1009,1058)",0.001186287480520712,4
1008,777,"(1008,777)",0.00114116150617601,4
101,821,"(101,821)",0.0011346497384525879,4
821,827,"(821,827)",0.0011343660671282922,4
101,1008,"(101,1008)",0.0011168750966169705,4
1009,1197,"(1009,1197)",0.001115824066379678,4
101,101,"(101,101)",0.0011131634053205182,4
961,728,"(961,728)",0.0011117492584975758,4
821,101,"(821,101)",0.0010953017550948494,4
1009,681,"(1009,681)",0.0010774929594253048,4
1009,1013,"(1009,1013)",0.001057180620227683,4
821,495,"(821,495)",0.0010540889037648335,4
821,496,"(821,496)",0.0010489918483203864,4
1009,96,"(1009,96)",0.0010420131380633735,4
1009,82,"(1009,82)",0.0010412605376491206,4
963,101,"(963,101)",0.0010367582036406324,4
1009,1106,"(1009,1106)",0.001034242613072625,4
1059,1058,"(1059,1058)",0.0010317087034098743,4
1009,1012,"(1009,1012)",0.0010228605984403789,4
821,449,"(821,449)",0.0010217373996202063,4
963,777,"(963,777)",0.0010177064229137224,4
1059,101,"(1059,101)",0.0010124136483645265,4
1059,12,"(1059,12)",0.0010093909086966828,4
961,681,"(961,681)",0.0010038003211738792,4
1055,1056,"(1055,1056)",0.0009786382769290942,4
868,101,"(868,101)",0.0009762964394526003,4
823,78,"(823,78)",0.0009715538528455385,4
823,826,"(823,826)",0.0009707363527914817,4
1056,823,"(1056,823)",0.000962463385174054,4
916,101,"(916,101)",0.0009599517263130052,4
1009,1245,"(1009,1245)",0.0009573123800539001,4
823,827,"(823,827)",0.0009562485826956978,4
1056,777,"(1056,777)",0.0009406477216267989,4
1009,1107,"(1009,1107)",0.0009402999869020257,4
821,355,"(821,355)",0.0009397681512599203,4
821,921,"(821,921)",0.0009310692667430494,4
868,635,"(868,635)",0.0009284011518626001,4
1009,683,"(1009,683)",0.00092812249752553,4
1059,1109,"(1059,1109)",0.0009261146627038199,4
101,868,"(101,868)",0.0009228052300495311,4
963,73,"(963,73)",0.0009227392759649462,4
867,1009,"(867,1009)",0.0009198084007785745,4
868,1102,"(868,1102)",0.0009060352124579123,4
822,827,"(822,827)",0.000897715586870878,4
821,588,"(821,588)",0.0008912570967030704,4
961,87,"(961,87)",0.0008903600930833275,4
1009,775,"(1009,775)",0.0008892472492622599,4
1012,106,"(1012,106)",0.0008881509479866269,4
101,915,"(101,915)",0.0008845764032218542,4
1058,1059,"(1058,1059)",0.000883136184223206,4
962,1059,"(962,1059)",0.0008776871429936799,4
914,635,"(914,635)",0.0008725859924817841,4
1008,1059,"(1008,1059)",0.000860465740664986,4
914,1059,"(914,1059)",0.0008602373510096375,4
1009,776,"(1009,776)",0.0008425747804417153,4
1009,1199,"(1009,1199)",0.0008416001574333342,4
73,684,"(73,684)",0.000841379475582074,4
101,1059,"(101,1059)",0.0008372843225821938,4
73,637,"(73,637)",0.0008362813893425942,4
1055,101,"(1055,101)",0.0008324603584354549,4
1055,916,"(1055,916)",0.0008323496163845144,4
1009,1246,"(1009,1246)",0.0008286375001870938,4
915,1102,"(915,1102)",0.0008269100550898968,4
821,1056,"(821,1056)",0.0008267266044426462,4
822,78,"(822,78)",0.0008243194588306997,4
821,402,"(821,402)",0.0008239322464216299,4
1056,1058,"(1056,1058)",0.0008215446806995435,4
868,1056,"(868,1056)",0.000821465051447695,4
962,774,"(962,774)",0.0008192559215429119,4
821,637,"(821,637)",0.0008186465314109338,4
1012,1009,"(1012,1009)",0.0008168160459466836,4
1009,115,"(1009,115)",0.0008152791146359773,4
821,78,"(821,78)",0.0008132294860575497,4
101,823,"(101,823)",0.0008119049546724995,4
962,82,"(962,82)",0.0008118873441657846,4
1009,1155,"(1009,1155)",0.0008103374974479473,4
101,73,"(101,73)",0.0008070479616060104,4
1056,106,"(1056,106)",0.0008053493712667466,4
1009,635,"(1009,635)",0.000799872285440392,4
867,916,"(867,916)",0.0007991834821061099,4
1056,87,"(1056,87)",0.0007973533662767952,4
1056,1054,"(1056,1054)",0.0007963424259257371,4
822,921,"(822,921)",0.0007918677237563991,4
1059,1156,"(1059,1156)",0.0007787916375239747,4
1009,1247,"(1009,1247)",0.0007734416795674244,4
1008,82,"(1008,82)",0.0007725065523292179,4
914,96,"(914,96)",0.0007717099823385162,4
915,1056,"(915,1056)",0.0007633749494725408,4
1009,1108,"(1009,1108)",0.0007594381605812489,4
821,826,"(821,826)",0.0007559090390524496,4
961,1059,"(961,1059)",0.00075441876054058,4
1058,106,"(1058,106)",0.0007529427078769204,4
822,635,"(822,635)",0.0007507772986819485,4
821,543,"(821,543)",0.0007498016359703464,4
1056,1106,"(1056,1106)",0.0007486030393586625,4
1059,962,"(1059,962)",0.0007477302157080964,4
1055,963,"(1055,963)",0.0007445154394366177,4
916,1056,"(916,1056)",0.0007339733227621429,4
1012,965,"(1012,965)",0.0007326583339726026,4
914,589,"(914,589)",0.0007314168572706133,4
1009,965,"(1009,965)",0.0007225167774538411,4
963,1056,"(963,1056)",0.0007182383982180712,4
821,542,"(821,542)",0.0007138643676902408,4
1055,1102,"(1055,1102)",0.0007120222291105843,4
867,82,"(867,82)",0.0007059072627366349,4
963,821,"(963,821)",0.0007051091016461608,4
101,1102,"(101,1102)",0.0007037415569357203,4
