,p0,p1,p2,p3,p4,trips0,trips1,trips2,trips3,trips4,date,hour,doc_id
0,0.43396607560167,0.0,0.0,0.069027717487691,0.4918771238107054,53.37782729900541,0.0,0.0,8.490409250985993,60.500886228716766,2013-10-01,0,0
1,0.0,0.0,0.0,0.04094027182037019,0.9489062632079317,0.0,0.0,0.0,4.094027182037019,94.89062632079317,2013-10-01,1,1
2,0.0,0.0,0.0,0.1671724291319361,0.8189175151453818,0.0,0.0,0.0,10.866207893575847,53.229638484449815,2013-10-01,2,2
3,0.0,0.4603195895117834,0.0,0.0,0.5139874916265316,0.0,15.190546453888853,0.0,0.0,16.96158722367554,2013-10-01,3,3
4,0.0,0.7749324103383958,0.20865329952986547,0.0,0.0,0.0,44.171147389288556,11.893238073202332,0.0,0.0,2013-10-01,4,4
5,0.0,0.9490764086853446,0.0,0.0,0.03660508404469669,0.0,57.89366092980602,0.0,0.0,2.2329101267264977,2013-10-01,5,5
6,0.0,0.8558658379160933,0.0,0.13555053043660878,0.0,0.0,91.57764465702198,0.0,14.50390675671714,0.0,2013-10-01,6,6
7,0.0,0.7143336416598297,0.10152310676168085,0.18013925928950886,0.0,0.0,117.15071723221207,16.64978950891566,29.542838523479453,0.0,2013-10-01,7,7
8,0.0,0.5389737052112156,0.0,0.45673029840579094,0.0,0.0,116.95729403083378,0.0,99.11047475405664,0.0,2013-10-01,8,8
9,0.0,0.3684707855274742,0.0,0.627576701841412,0.0,0.0,87.69604695553886,0.0,149.36325503825606,0.0,2013-10-01,9,9
10,0.0,0.12365882554865491,0.0,0.8709886352307306,0.0,0.0,22.505906249855194,0.0,158.51993161199297,0.0,2013-10-01,10,10
11,0.0,0.22855153873845463,0.0,0.7662695780089097,0.0,0.0,44.56755005399865,0.0,149.4225677117374,0.0,2013-10-01,11,11
12,0.0,0.04610795577739512,0.024557740769903802,0.92598718344229,0.0,0.0,8.299432039931121,4.420393338582684,166.6776930196122,0.0,2013-10-01,12,12
13,0.0,0.11911684650153237,0.0,0.8752364968785287,0.0,0.0,20.368980751762034,0.0,149.6654409662284,0.0,2013-10-01,13,13
14,0.0,0.0,0.09156476497976702,0.9037190739694431,0.0,0.0,0.0,18.221388230973638,179.84009571991916,0.0,2013-10-01,14,14
15,0.0,0.0,0.0,0.9930419207203905,0.0,0.0,0.0,0.0,190.664048778315,0.0,2013-10-01,15,15
16,0.0,0.066036615199992,0.0,0.9286355221052031,0.0,0.0,11.952627351198553,0.0,168.08302950104175,0.0,2013-10-01,16,16
17,0.0,0.0,0.0,0.993969853544279,0.0,0.0,0.0,0.0,220.66130748682994,0.0,2013-10-01,17,17
18,0.0,0.0,0.0,0.9940524180651155,0.0,0.0,0.0,0.0,218.69153197432541,0.0,2013-10-01,18,18
19,0.0,0.0,0.0,0.7414217215260208,0.25544233646636133,0.0,0.0,0.0,233.54784228069656,80.46433598690382,2013-10-01,19,19
20,0.0,0.0,0.0,0.7886266889406963,0.20791227806536136,0.0,0.0,0.0,216.0837127697508,56.96796418990901,2013-10-01,20,20
21,0.0,0.0,0.23606333369667987,0.6469791656674925,0.11429190171394847,0.0,0.0,58.07158008938325,159.15687475420316,28.115807821631325,2013-10-01,21,21
22,0.052456925128231795,0.0,0.0811232425100604,0.630527072042249,0.2345593772057993,12.170006629749777,0.0,18.82059226233401,146.28228071380178,54.41777551174544,2013-10-01,22,22
23,0.0,0.0,0.0,0.31432452613059486,0.6798348615084291,0.0,0.0,0.0,47.77732797185042,103.33489894928123,2013-10-01,23,23
24,0.0,0.0,0.0,0.45563899264198787,0.5351233002233378,0.0,0.0,0.0,52.398484153828605,61.53917952568384,2013-10-02,0,24
25,0.0,0.0,0.0,0.0,0.9885249595351512,0.0,0.0,0.0,0.0,107.74922058933147,2013-10-02,1,25
26,0.0,0.0,0.4211944286994854,0.0,0.5647898909812865,0.0,0.0,28.220026722865523,0.0,37.840922695746194,2013-10-02,2,26
27,0.0,0.13478035517690307,0.0,0.0,0.8435388737634942,0.0,5.660774917429928,0.0,0.0,35.42863269806676,2013-10-02,3,27
28,0.0,0.8226433972150369,0.0,0.0,0.1603587011992169,0.0,43.600100052396954,0.0,0.0,8.499011163558496,2013-10-02,4,28
29,0.0,0.8865680287397405,0.0,0.0997553424960986,0.0,0.0,59.40005792556261,0.0,6.683607947238606,0.0,2013-10-02,5,29
30,0.0,0.7453964187860244,0.0,0.24463975749338257,0.0,0.0,74.53964187860244,0.0,24.463975749338257,0.0,2013-10-02,6,30
31,0.0,0.6698362546482174,0.0,0.28448372402546035,0.04180931903332892,0.0,108.51347325301121,0.0,46.086363292124574,6.773109683399285,2013-10-02,7,31
32,0.0,0.6528649298615601,0.0,0.34296361408540393,0.0,0.0,148.8532040084357,0.0,78.1957040114721,0.0,2013-10-02,8,32
33,0.0,0.35338804595946044,0.11355256243442526,0.5299152004782455,0.0,0.0,74.56487769744615,23.95959067366373,111.8121073009098,0.0,2013-10-02,9,33
34,0.0,0.29432178935660014,0.0,0.7001817461481247,0.0,0.0,55.921139977754024,0.0,133.0345317681437,0.0,2013-10-02,10,34
35,0.0,0.07628233443408905,0.0,0.9187317428218755,0.0,0.0,16.324419568895056,0.0,196.60859296388136,0.0,2013-10-02,11,35
36,0.0,0.13227994469312354,0.028880006129731677,0.8357041536050256,0.0,0.0,28.04334827494219,6.122561299503116,177.16928056426542,0.0,2013-10-02,12,36
37,0.0,0.0,0.0,0.9921718574318856,0.0,0.0,0.0,0.0,169.66138762085245,0.0,2013-10-02,13,37
38,0.0,0.10815109294915971,0.0,0.8863502545208886,0.0,0.0,18.926441266102948,0.0,155.1112945411555,0.0,2013-10-02,14,38
39,0.0,0.03283974384259613,0.0,0.9621061936666907,0.0,0.0,6.53510902467663,0.0,191.45913253967146,0.0,2013-10-02,15,39
40,0.0,0.0,0.0,0.9934586513999732,0.0,0.0,0.0,0.0,210.61323409679432,0.0,2013-10-02,16,40
41,0.0,0.0,0.08502861188715137,0.9105944040155508,0.0,0.0,0.0,19.896695181593422,213.07909053963888,0.0,2013-10-02,17,41
42,0.0,0.0,0.1464973247418366,0.8500164063700207,0.0,0.0,0.0,40.87275360297241,237.1545773772358,0.0,2013-10-02,18,42
43,0.0,0.0,0.0,0.9956624568298353,0.0,0.0,0.0,0.0,295.7117496784611,0.0,2013-10-02,19,43
44,0.0,0.0,0.0,0.6610194019978478,0.3359702840145163,0.0,0.0,0.0,200.28887880534788,101.79899605639844,2013-10-02,20,44
45,0.0,0.0,0.0,0.8081958178908293,0.1887472977841357,0.0,0.0,0.0,248.1161160924846,57.945420419729665,2013-10-02,21,45
46,0.0,0.0,0.0,0.6366832906999768,0.359698463296783,0.0,0.0,0.0,164.264289000594,92.80220353057001,2013-10-02,22,46
47,0.12711533328362012,0.0,0.0,0.3645391003230756,0.5056338630789718,29.744987988367107,0.0,0.0,85.30214947559969,118.31832396047942,2013-10-02,23,47
48,0.0,0.0,0.0,0.3061301548673386,0.6869608315001937,0.0,0.0,0.0,42.24596137169272,94.80059474702674,2013-10-03,0,48
49,0.0,0.0,0.0,0.0,0.9905999264087239,0.0,0.0,0.0,0.0,118.87199116904686,2013-10-03,1,49
50,0.21233152343440928,0.0,0.0,0.0,0.7763576133555112,16.561858827883924,0.0,0.0,0.0,60.555893841729876,2013-10-03,2,50
51,0.0,0.1252263077145485,0.0,0.0,0.85303925433214,0.0,5.384731231725586,0.0,0.0,36.68068793628202,2013-10-03,3,51
52,0.0,0.8018666759691526,0.0,0.0,0.18337680978473828,0.0,47.310133882180004,0.0,0.0,10.819231777299558,2013-10-03,4,52
53,0.0,0.8273119479841246,0.16005731266662668,0.0,0.0,0.0,58.73914830687284,11.364069199330494,0.0,0.0,2013-10-03,5,53
54,0.0,0.8189881837392525,0.0,0.07744011004817583,0.09750669338414035,0.0,83.53679474140375,0.0,7.8988912249139345,9.945682725182316,2013-10-03,6,54
55,0.0,0.6321644172106866,0.0,0.3622242873663942,0.0,0.0,107.46795092581672,0.0,61.578128852287016,0.0,2013-10-03,7,55
56,0.0,0.4904903730610535,0.0,0.505263737442796,0.0,0.0,109.37935319261493,0.0,112.6738134497435,0.0,2013-10-03,8,56
57,0.0,0.343012146284316,0.0,0.6526420300843213,0.0,0.0,76.83472076768678,0.0,146.19181473888798,0.0,2013-10-03,9,57
58,0.0,0.16158565134305922,0.0,0.8334558543012104,0.0,0.0,32.80188722264102,0.0,169.19153842314572,0.0,2013-10-03,10,58
59,0.0,0.15895566689268165,0.0,0.8359568927906635,0.0,0.0,30.99635504407292,0.0,163.0115940941794,0.0,2013-10-03,11,59
60,0.0,0.23058708260784716,0.0,0.7644202804255813,0.0,0.0,44.27271986070666,0.0,146.7686938417116,0.0,2013-10-03,12,60
61,0.0,0.14960512596336903,0.0,0.844887178066606,0.0,0.0,26.18089704358958,0.0,147.85525616165603,0.0,2013-10-03,13,61
62,0.0,0.14064083058194232,0.0,0.8545554218186425,0.0,0.0,27.84688445522458,0.0,169.20197352009123,0.0,2013-10-03,14,62
63,0.0,0.066848056510826,0.11733848236729219,0.8127734737545768,0.0,0.0,13.369611302165199,23.46769647345844,162.55469475091536,0.0,2013-10-03,15,63
64,0.0,0.0,0.0,0.9934851353584566,0.0,0.0,0.0,0.0,195.71657166561596,0.0,2013-10-03,16,64
65,0.0,0.0,0.0,0.994277735065298,0.0,0.0,0.0,0.0,219.73537944943087,0.0,2013-10-03,17,65
66,0.0,0.0,0.0,0.9956242695683888,0.0,0.0,0.0,0.0,287.73541390526435,0.0,2013-10-03,18,66
67,0.0,0.0,0.0,0.9497416052694013,0.04719840251450572,0.0,0.0,0.0,288.721448001898,14.34831436440974,2013-10-03,19,67
68,0.0,0.0,0.0,0.8823424227059109,0.11453273046962743,0.0,0.0,0.0,264.7027268117733,34.35981914088823,2013-10-03,20,68
69,0.0,0.0,0.0,0.8279898803421896,0.1689581720380413,0.0,0.0,0.0,251.70892362402563,51.363284299564555,2013-10-03,21,69
