orig,dest,pair,prob,topic
14823,14669,"(14823,14669)",0.006126669956039194,4
15131,14823,"(15131,14823)",0.005942497659405989,4
14669,14669,"(14669,14669)",0.005774476187133828,4
15285,14823,"(15285,14823)",0.005210474770157541,4
14824,14825,"(14824,14825)",0.004580284336691017,4
14978,14823,"(14978,14823)",0.004447456719631909,4
14513,14669,"(14513,14669)",0.0043425811681894935,4
15131,14824,"(15131,14824)",0.004093339501422245,4
14977,14823,"(14977,14823)",0.004065189115339832,4
15285,14824,"(15285,14824)",0.003993016675162455,4
14978,14824,"(14978,14824)",0.003984559063510851,4
14825,14824,"(14825,14824)",0.0038495988315745255,4
14516,14823,"(14516,14823)",0.003823033708835998,4
14823,14975,"(14823,14975)",0.0038220729598927466,4
15283,14824,"(15283,14824)",0.003756687363652292,4
14823,14976,"(14823,14976)",0.0036897951271237742,4
14977,14824,"(14977,14824)",0.0036622517733685793,4
1467,14515,"(1467,14515)",0.0036385159241572058,4
15283,15283,"(15283,15283)",0.003603975596604751,4
14824,14978,"(14824,14978)",0.003548474375116411,4
14671,14823,"(14671,14823)",0.003530734979007921,4
14825,14823,"(14825,14823)",0.003494225911683426,4
14823,15131,"(14823,15131)",0.0034327957404411075,4
14671,14669,"(14671,14669)",0.003382575942275723,4
14513,14823,"(14513,14823)",0.0033394920323398893,4
1467,14825,"(1467,14825)",0.003332228531447845,4
15283,14823,"(15283,14823)",0.0032923017160339965,4
14824,15131,"(14824,15131)",0.0032807332523374605,4
1513,14823,"(1513,14823)",0.0032584270972170607,4
14823,14825,"(14823,14825)",0.003223334845285336,4
14823,14978,"(14823,14978)",0.0032014733546215446,4
14669,14823,"(14669,14823)",0.0031032910764932104,4
14824,14976,"(14824,14976)",0.0030937137833493616,4
14823,14977,"(14823,14977)",0.0030816966668803397,4
14822,14823,"(14822,14823)",0.003077160545329955,4
14824,14975,"(14824,14975)",0.0030053661086605096,4
1467,14513,"(1467,14513)",0.0029469686998639883,4
14516,14669,"(14516,14669)",0.002923384145468081,4
14513,14513,"(14513,14513)",0.0029021986567996606,4
14824,14977,"(14824,14977)",0.0028741540481898634,4
14823,14822,"(14823,14822)",0.0028663687407410304,4
1467,14668,"(1467,14668)",0.0028342233274817863,4
14513,14514,"(14513,14514)",0.0027330101175952635,4
15131,15131,"(15131,15131)",0.0027299249707626572,4
15131,14669,"(15131,14669)",0.002685639380668648,4
14669,14513,"(14669,14513)",0.002672234942603523,4
14824,15285,"(14824,15285)",0.0026711846698275715,4
14823,14515,"(14823,14515)",0.002663650020590863,4
1467,14514,"(1467,14514)",0.0026530812815726353,4
14824,1513,"(14824,1513)",0.002644610003247466,4
14516,14824,"(14516,14824)",0.002640363319149807,4
14513,14824,"(14513,14824)",0.0026226575999794516,4
14823,1513,"(14823,1513)",0.002553149913551253,4
14513,14515,"(14513,14515)",0.0025499101488297045,4
14823,14514,"(14823,14514)",0.0025312803527268285,4
14824,14822,"(14824,14822)",0.002520726097087777,4
15285,14669,"(15285,14669)",0.0025059728338007897,4
15131,14976,"(15131,14976)",0.0024982220778013574,4
14823,14668,"(14823,14668)",0.002490870433768633,4
14825,14825,"(14825,14825)",0.0024831469916817587,4
14513,14668,"(14513,14668)",0.0024559508224844036,4
15283,14977,"(15283,14977)",0.002433338207027124,4
15285,15439,"(15285,15439)",0.0024313356887467434,4
15131,15439,"(15131,15439)",0.0024274940103901567,4
14669,14668,"(14669,14668)",0.00242520561974134,4
1513,14824,"(1513,14824)",0.0024169494245580066,4
14669,14515,"(14669,14515)",0.002412669034807563,4
14824,14668,"(14824,14668)",0.00241111001597308,4
14823,15285,"(14823,15285)",0.0024110550137736047,4
15131,14975,"(15131,14975)",0.0023348607479029304,4
15285,15285,"(15285,15285)",0.00233244617902294,4
14978,1513,"(14978,1513)",0.0023302519687682112,4
14976,14823,"(14976,14823)",0.002295027391307592,4
14979,14824,"(14979,14824)",0.002293421245102929,4
15285,14975,"(15285,14975)",0.0022862633855166496,4
14977,14977,"(14977,14977)",0.00226981334015154,4
15131,15285,"(15131,15285)",0.002257608652105786,4
15285,14976,"(15285,14976)",0.002243552148633747,4
14823,14513,"(14823,14513)",0.0022339135699496688,4
14668,14669,"(14668,14669)",0.0022330563715643958,4
15285,15131,"(15285,15131)",0.0021989775097977183,4
15283,15437,"(15283,15437)",0.002173939593757118,4
14824,14514,"(14824,14514)",0.0021572557113273636,4
14824,15283,"(14824,15283)",0.0020479413198548416,4
14668,14668,"(14668,14668)",0.002025879914738397,4
14513,1467,"(14513,1467)",0.0020245316172095005,4
14824,15439,"(14824,15439)",0.0020202230665474527,4
14823,14821,"(14823,14821)",0.002014371198192305,4
14977,14976,"(14977,14976)",0.0020089752917744983,4
1467,14976,"(1467,14976)",0.0019814490118045106,4
14979,14823,"(14979,14823)",0.001970623788694176,4
14977,14669,"(14977,14669)",0.001966118473213233,4
15131,14977,"(15131,14977)",0.0019486713171297534,4
14825,14669,"(14825,14669)",0.0019477552355342247,4
15131,1467,"(15131,1467)",0.001941393461575036,4
14671,1467,"(14671,1467)",0.0019289031069056192,4
1467,14977,"(1467,14977)",0.0019188855183171715,4
14975,14823,"(14975,14823)",0.0019066188324108732,4
14978,14978,"(14978,14978)",0.0018839042245379382,4
14516,1467,"(14516,1467)",0.0018627565994324621,4
1513,14975,"(1513,14975)",0.0018590896930309917,4
15285,1513,"(15285,1513)",0.0018586841475428492,4
14977,1513,"(14977,1513)",0.001813356726871269,4
15285,15128,"(15285,15128)",0.0018094228977596637,4
14669,14514,"(14669,14514)",0.0018016039205620109,4
1467,14975,"(1467,14975)",0.0017951769524817628,4
1467,14822,"(1467,14822)",0.0017880191934662203,4
15283,14978,"(15283,14978)",0.0017808707622473273,4
14669,14975,"(14669,14975)",0.0017532462531331902,4
15285,1467,"(15285,1467)",0.0017428878149214346,4
1467,14516,"(1467,14516)",0.0017192215883823846,4
1467,14979,"(1467,14979)",0.001717637829328005,4
14978,15283,"(14978,15283)",0.0016940076210360095,4
14823,15128,"(14823,15128)",0.0016813983128687341,4
14516,14515,"(14516,14515)",0.0016811829742854805,4
14975,14975,"(14975,14975)",0.0016746380264062468,4
15439,15131,"(15439,15131)",0.0016630376962971211,4
14825,1467,"(14825,1467)",0.0016625898922349597,4
14516,14513,"(14516,14513)",0.0016585752950930342,4
15131,14978,"(15131,14978)",0.0016525165558622932,4
