orig,dest,pair,prob,topic
14671,14669,"(14671,14669)",0.0061152385903334786,0
17752,14669,"(17752,14669)",0.004621634320670368,0
14823,14669,"(14823,14669)",0.004230937858201441,0
17752,1467,"(17752,1467)",0.004078718848862066,0
14979,14824,"(14979,14824)",0.003999426904648879,0
17752,14668,"(17752,14668)",0.003968803564029199,0
14516,14823,"(14516,14823)",0.003713501605430656,0
17752,14515,"(17752,14515)",0.003401389824833585,0
14825,14824,"(14825,14824)",0.0032965410300216276,0
1467,14515,"(1467,14515)",0.0032396814426702285,0
14671,14823,"(14671,14823)",0.0032306107112916554,0
15285,14823,"(15285,14823)",0.003111224731276824,0
14825,14823,"(14825,14823)",0.003031309876924214,0
17752,1513,"(17752,1513)",0.0029042687364384686,0
1467,14825,"(1467,14825)",0.0027764244164947666,0
14671,1467,"(14671,1467)",0.00273177658954443,0
14825,14669,"(14825,14669)",0.0026973205035214654,0
17752,17907,"(17752,17907)",0.0026234764107819996,0
15131,14824,"(15131,14824)",0.0026218481880731542,0
15131,14823,"(15131,14823)",0.002593294021852239,0
14823,14977,"(14823,14977)",0.0024749113083391825,0
15439,15439,"(15439,15439)",0.002350698447136442,0
14824,14977,"(14824,14977)",0.002281435354464986,0
15285,14824,"(15285,14824)",0.002273058242622582,0
17752,14514,"(17752,14514)",0.002210810148430625,0
14669,14823,"(14669,14823)",0.002102114187015659,0
14823,14822,"(14823,14822)",0.0020904918161722946,0
17752,14823,"(17752,14823)",0.0019441792783881921,0
14977,14824,"(14977,14824)",0.0019334760834368294,0
14671,14668,"(14671,14668)",0.0018721901792273133,0
14668,14824,"(14668,14824)",0.0018347180081255752,0
14671,14515,"(14671,14515)",0.0018274365886485908,0
14823,14515,"(14823,14515)",0.001816882043020203,0
14976,14823,"(14976,14823)",0.0017921125713316781,0
14671,14821,"(14671,14821)",0.0017873378050000572,0
14978,14823,"(14978,14823)",0.0017781959230502512,0
14824,14976,"(14824,14976)",0.0017750258802596433,0
1467,14976,"(1467,14976)",0.001772288798623509,0
17752,14513,"(17752,14513)",0.0017528173927731463,0
14516,14515,"(14516,14515)",0.0017345731976227434,0
17752,14976,"(17752,14976)",0.001695760902064713,0
1467,14514,"(1467,14514)",0.0016739799306583758,0
14824,1513,"(14824,1513)",0.001589616620423804,0
14977,14977,"(14977,14977)",0.001580856212345339,0
1467,15745,"(1467,15745)",0.0015715245522516766,0
15283,14823,"(15283,14823)",0.0015617461805811643,0
15285,15439,"(15285,15439)",0.0015564195090159018,0
1467,14516,"(1467,14516)",0.0015524299622692226,0
1467,14975,"(1467,14975)",0.0015362721978880586,0
14671,14514,"(14671,14514)",0.0015335651899765768,0
1467,14667,"(1467,14667)",0.001514191840047736,0
14823,15131,"(14823,15131)",0.0014926284623119474,0
17752,15285,"(17752,15285)",0.0014866951325403339,0
15285,1513,"(15285,1513)",0.0014860728355765363,0
17751,14824,"(17751,14824)",0.0014859577432547182,0
14513,14824,"(14513,14824)",0.0014765004778549567,0
1467,14668,"(1467,14668)",0.0014591260571604377,0
14979,14979,"(14979,14979)",0.0014469969809466688,0
15283,15283,"(15283,15283)",0.0014398393074976023,0
14822,14823,"(14822,14823)",0.0014339013546429504,0
14979,14515,"(14979,14515)",0.0014151226901526909,0
17752,15284,"(17752,15284)",0.0014116767106855397,0
1467,14979,"(1467,14979)",0.001391702742274508,0
17752,14977,"(17752,14977)",0.0013911372032655459,0
17752,14979,"(17752,14979)",0.0013839818795193968,0
15285,15593,"(15285,15593)",0.0013649136752078945,0
14824,14978,"(14824,14978)",0.0013641769876126426,0
