orig,dest,pair,prob,topic
17752,1467,"(17752,1467)",0.01005802647284098,3
14516,14824,"(14516,14824)",0.007650532900692288,3
14671,1467,"(14671,1467)",0.007553161235202044,3
14362,14824,"(14362,14824)",0.006727805874869869,3
1467,14671,"(1467,14671)",0.006442994695650241,3
14979,14824,"(14979,14824)",0.006376552761081178,3
1467,14515,"(1467,14515)",0.006319462664283339,3
1467,14516,"(1467,14516)",0.006299584824222303,3
14671,14516,"(14671,14516)",0.005896537253636843,3
14824,14668,"(14824,14668)",0.005770600021974776,3
14824,14825,"(14824,14825)",0.005656555687016934,3
14824,14977,"(14824,14977)",0.005446602704470262,3
14824,14822,"(14824,14822)",0.005435410701148137,3
15595,15595,"(15595,15595)",0.0054151581528890875,3
14515,1467,"(14515,1467)",0.005369723268396833,3
14671,14515,"(14671,14515)",0.005153323905208042,3
1467,14668,"(1467,14668)",0.005119168991850746,3
17751,14824,"(17751,14824)",0.004984422632664893,3
14671,14669,"(14671,14669)",0.004844998878644397,3
14824,14362,"(14824,14362)",0.004785300873049283,3
1467,17752,"(1467,17752)",0.004624459080604216,3
14824,14361,"(14824,14361)",0.004513980638946457,3
17752,14515,"(17752,14515)",0.004460590659761148,3
17752,14671,"(17752,14671)",0.004391939686282611,3
14671,14668,"(14671,14668)",0.00435993014169453,3
14822,14824,"(14822,14824)",0.004323845603382454,3
14516,1467,"(14516,1467)",0.004113137739413216,3
14671,17752,"(14671,17752)",0.004049892906632279,3
14977,14824,"(14977,14824)",0.003936503997985988,3
14824,14513,"(14824,14513)",0.003911520582334311,3
14668,14824,"(14668,14824)",0.003805578291477701,3
1467,14825,"(1467,14825)",0.0036046752500343586,3
14669,14669,"(14669,14669)",0.0035969838556370497,3
1467,14822,"(1467,14822)",0.003542018496867302,3
14671,14671,"(14671,14671)",0.0035139814167090915,3
14825,14824,"(14825,14824)",0.003489855980333608,3
17752,14823,"(17752,14823)",0.003487793991669149,3
14671,14823,"(14671,14823)",0.003456482453182054,3
1467,14979,"(1467,14979)",0.003435684155196252,3
1467,14513,"(1467,14513)",0.0034064264896954636,3
14669,14823,"(14669,14823)",0.0033480986667310023,3
14361,14824,"(14361,14824)",0.003267932687752515,3
14671,14979,"(14671,14979)",0.0032442580578652632,3
14671,14825,"(14671,14825)",0.003156807806903349,3
14823,14669,"(14823,14669)",0.0031438091373859924,3
17752,14825,"(17752,14825)",0.003077490120116213,3
14824,14514,"(14824,14514)",0.0030343751549195045,3
17752,17752,"(17752,17752)",0.003014952707406839,3
14516,14671,"(14516,14671)",0.0029954008915756823,3
14824,15285,"(14824,15285)",0.0028854510908640743,3
14671,14513,"(14671,14513)",0.0028706769852084933,3
1467,14977,"(1467,14977)",0.0027885256895050876,3
1467,14514,"(1467,14514)",0.0027812181329271058,3
14979,1467,"(14979,1467)",0.0027228664340095848,3
14362,1467,"(14362,1467)",0.0026002325873456093,3
14824,14978,"(14824,14978)",0.002592408594123072,3
14516,14516,"(14516,14516)",0.002577771934549297,3
14515,14515,"(14515,14515)",0.0025332863780828316,3
14515,14823,"(14515,14823)",0.0025008536267108485,3
17752,14669,"(17752,14669)",0.0024940956895310048,3
14823,14516,"(14823,14516)",0.00248507245472983,3
14515,14671,"(14515,14671)",0.0024807138753919905,3
14515,14516,"(14515,14516)",0.002459909372309524,3
14823,14822,"(14823,14822)",0.002427292272425123,3
14824,14976,"(14824,14976)",0.0024023456906546873,3
14669,14516,"(14669,14516)",0.002396622314123708,3
14822,1467,"(14822,1467)",0.002372684449537942,3
14515,14669,"(14515,14669)",0.002348974596566225,3
14824,15131,"(14824,15131)",0.0023349939403402528,3
14823,14977,"(14823,14977)",0.002316257612087645,3
14825,1467,"(14825,1467)",0.0022802544587981065,3
14977,14823,"(14977,14823)",0.0022726487791211343,3
14671,14514,"(14671,14514)",0.002266611790848299,3
14823,14671,"(14823,14671)",0.0022440790210887375,3
14516,14669,"(14516,14669)",0.0022355403753801864,3
14668,1467,"(14668,1467)",0.0022333111193827957,3
14513,14824,"(14513,14824)",0.002215134428258848,3
14516,14515,"(14516,14515)",0.002206667676813751,3
14822,14823,"(14822,14823)",0.0022056450356425185,3
14671,14822,"(14671,14822)",0.0021347523867840663,3
14977,1467,"(14977,1467)",0.0021021218334642405,3
14669,14671,"(14669,14671)",0.0020939256666719086,3
14823,14515,"(14823,14515)",0.0020717709636226323,3
1467,14667,"(1467,14667)",0.0020447431910452537,3
14979,14671,"(14979,14671)",0.0020313067411737093,3
14668,14668,"(14668,14668)",0.002016398468644933,3
14979,14823,"(14979,14823)",0.0019976895852794963,3
14669,14977,"(14669,14977)",0.001995794006169483,3
14825,17752,"(14825,17752)",0.0019834962304857277,3
14824,14821,"(14824,14821)",0.001966255195606966,3
1467,14821,"(1467,14821)",0.001964871950925251,3
14362,14671,"(14362,14671)",0.001928707771995253,3
14823,14979,"(14823,14979)",0.0019277291372972692,3
14669,14515,"(14669,14515)",0.0019150495490277294,3
14823,14668,"(14823,14668)",0.0018790039567473272,3
14978,14824,"(14978,14824)",0.0018776276656003975,3
15441,15441,"(15441,15441)",0.001860935085313542,3
14822,14822,"(14822,14822)",0.0018591405614349016,3
14825,14671,"(14825,14671)",0.0018263918498894805,3
17752,14668,"(17752,14668)",0.001824911981180411,3
1467,14362,"(1467,14362)",0.0017853870745079062,3
14824,14975,"(14824,14975)",0.0017743110792428163,3
14669,14668,"(14669,14668)",0.001773354968216387,3
14516,14823,"(14516,14823)",0.001759985549253251,3
14979,14669,"(14979,14669)",0.0017571352235680048,3
1467,14361,"(1467,14361)",0.0017527337943009798,3
14668,14669,"(14668,14669)",0.0017389150491542596,3
17751,1467,"(17751,1467)",0.0016730882259854956,3
14671,14821,"(14671,14821)",0.0016703109767272504,3
14669,14822,"(14669,14822)",0.0016632556724044331,3
14823,14825,"(14823,14825)",0.0016526039398669266,3
14824,14667,"(14824,14667)",0.0016437959447607035,3
14671,14977,"(14671,14977)",0.001641794854057652,3
14515,14513,"(14515,14513)",0.0016328243440351426,3
14824,1513,"(14824,1513)",0.0016320800724139155,3
14514,14824,"(14514,14824)",0.001620181221590875,3
14821,14824,"(14821,14824)",0.001555821296010561,3
14669,14513,"(14669,14513)",0.0015314669470556177,3
14825,14825,"(14825,14825)",0.0015312565460755846,3
14822,14668,"(14822,14668)",0.0015187698513357817,3
17752,14979,"(17752,14979)",0.0015184003246510576,3
17752,14514,"(17752,14514)",0.0015173285383063677,3
14977,14669,"(14977,14669)",0.0014955280363334203,3
14824,15132,"(14824,15132)",0.0014943345152992134,3
14671,14667,"(14671,14667)",0.0014897149603544462,3
14361,1467,"(14361,1467)",0.0014891862226834938,3
14513,1467,"(14513,1467)",0.0014776975808680761,3
14668,14516,"(14668,14516)",0.0014756269642842003,3
14976,14824,"(14976,14824)",0.0014717711652800732,3
14668,14823,"(14668,14823)",0.0014652896601017166,3
14822,14669,"(14822,14669)",0.0014616291278423978,3
1467,1482,"(1467,1482)",0.0014603812306788666,3
15131,14824,"(15131,14824)",0.0014573552283097303,3
14977,14977,"(14977,14977)",0.0014541987940307442,3
14824,15128,"(14824,15128)",0.0014530182980074956,3
15285,14824,"(15285,14824)",0.001446146563726518,3
14824,1482,"(14824,1482)",0.0014139084785620318,3
14975,14824,"(14975,14824)",0.0013973608351290528,3
14516,14668,"(14516,14668)",0.0013843462674891032,3
14668,14671,"(14668,14671)",0.0013803406459167548,3
14362,14823,"(14362,14823)",0.0013566132482187776,3
14671,14362,"(14671,14362)",0.0013405909314283201,3
14823,14976,"(14823,14976)",0.0013372206890170711,3
1467,14978,"(1467,14978)",0.0013347937415938561,3
14516,14513,"(14516,14513)",0.0013301004310888747,3
14822,14977,"(14822,14977)",0.001317594043609576,3
14515,14668,"(14515,14668)",0.0013101937964188567,3
17752,14977,"(17752,14977)",0.0013054821190804484,3
14513,14668,"(14513,14668)",0.001303790415705193,3
17752,14822,"(17752,14822)",0.0012868318763070024,3
14824,15127,"(14824,15127)",0.0012859463690281165,3
15132,14824,"(15132,14824)",0.0012803000663855512,3
14979,14825,"(14979,14825)",0.0012613138862589395,3
14979,14516,"(14979,14516)",0.0012598742630625488,3
14668,14513,"(14668,14513)",0.0012476148354571288,3
14668,14822,"(14668,14822)",0.001240777501861659,3
1467,14976,"(1467,14976)",0.0012336810944212882,3
14821,14823,"(14821,14823)",0.001233340702990714,3
15128,14824,"(15128,14824)",0.0012294439883085266,3
14825,14669,"(14825,14669)",0.0012258949601168941,3
14979,14979,"(14979,14979)",0.0012189728241179252,3
14668,14515,"(14668,14515)",0.001217892756735775,3
14825,14516,"(14825,14516)",0.0012174532903290573,3
14513,14516,"(14513,14516)",0.0012152371964704843,3
14823,15285,"(14823,15285)",0.0012092736821382882,3
1467,15285,"(1467,15285)",0.0012084223276600304,3
14823,15131,"(14823,15131)",0.0012046329706917782,3
14669,14825,"(14669,14825)",0.001202496267219584,3
15131,14823,"(15131,14823)",0.0011995050669938888,3
14515,14514,"(14515,14514)",0.0011969812254541722,3
14825,14823,"(14825,14823)",0.001184704739229641,3
14825,14979,"(14825,14979)",0.0011823270385361187,3
17752,14513,"(17752,14513)",0.0011761580251254072,3
14671,14361,"(14671,14361)",0.0011665567018654583,3
14823,14513,"(14823,14513)",0.0011656018192771594,3
14979,14977,"(14979,14977)",0.001162616534410042,3
14671,14978,"(14671,14978)",0.0011581186028341958,3
14979,14668,"(14979,14668)",0.0011474729758213361,3
14669,14979,"(14669,14979)",0.0011450386442443464,3
14979,17752,"(14979,17752)",0.001144889104604775,3
14516,14825,"(14516,14825)",0.0011401079754991717,3
15127,14824,"(15127,14824)",0.0011367143510418033,3
14513,14671,"(14513,14671)",0.0011189038882016725,3
14977,14822,"(14977,14822)",0.0011182973242971346,3
17752,14516,"(17752,14516)",0.0011129573841088321,3
14513,14669,"(14513,14669)",0.0011046269779246744,3
14513,14515,"(14513,14515)",0.0010939674538942665,3
14824,15284,"(14824,15284)",0.0010846945142277515,3
14668,14977,"(14668,14977)",0.0010749194113496444,3
14822,14671,"(14822,14671)",0.0010743514680192927,3
17751,14515,"(17751,14515)",0.001056233259769177,3
14979,14515,"(14979,14515)",0.0010441903920642144,3
14514,1467,"(14514,1467)",0.0010358218477664707,3
14823,14821,"(14823,14821)",0.001024697693911897,3
14977,14671,"(14977,14671)",0.0010160199794638015,3
14977,14979,"(14977,14979)",0.0010133673549875871,3
14515,17752,"(14515,17752)",0.001004708831007805,3
14669,14514,"(14669,14514)",0.000995626413578317,3
1467,14975,"(1467,14975)",0.0009946934193557203,3
14824,15129,"(14824,15129)",0.000992933878985375,3
14824,14819,"(14824,14819)",0.000991767840306836,3
14977,14668,"(14977,14668)",0.0009850557788495405,3
17752,15284,"(17752,15284)",0.000979322024985397,3
14671,1482,"(14671,1482)",0.0009754548771155247,3
14824,15286,"(14824,15286)",0.0009722091979111029,3
14516,14514,"(14516,14514)",0.000966316581783912,3
14823,14978,"(14823,14978)",0.0009556296495896631,3
14979,15285,"(14979,15285)",0.0009524592854044462,3
14669,17752,"(14669,17752)",0.0009513280628895151,3
14825,14668,"(14825,14668)",0.0009462775627760478,3
14671,14975,"(14671,14975)",0.0009437271140360725,3
14824,15283,"(14824,15283)",0.0009414948830808351,3
14671,14976,"(14671,14976)",0.0009407891556914589,3
17751,14823,"(17751,14823)",0.0009402168287469003,3
1513,14824,"(1513,14824)",0.0009340101460053426,3
14821,14822,"(14821,14822)",0.0009320287937805533,3
14821,1467,"(14821,1467)",0.000931683958318682,3
14977,14515,"(14977,14515)",0.0009313764675125991,3
14823,14975,"(14823,14975)",0.0009251441129509708,3
14514,14516,"(14514,14516)",0.0009041707369772499,3
14978,1467,"(14978,1467)",0.00090239304321884,3
1482,14824,"(1482,14824)",0.0008984405705354504,3
14979,14822,"(14979,14822)",0.000894638354039541,3
1467,15131,"(1467,15131)",0.0008913342365974785,3
14822,14516,"(14822,14516)",0.0008895487313912623,3
17752,14978,"(17752,14978)",0.0008867732003404956,3
17752,14667,"(17752,14667)",0.0008829974997520178,3
17752,14975,"(17752,14975)",0.0008819206810828319,3
17752,1513,"(17752,1513)",0.0008815186823160031,3
14978,14823,"(14978,14823)",0.0008776480339407249,3
14823,1513,"(14823,1513)",0.0008711379489202596,3
14825,14515,"(14825,14515)",0.0008689151545851058,3
14515,14977,"(14515,14977)",0.0008648228931707854,3
14979,15131,"(14979,15131)",0.0008614425593061471,3
14515,14825,"(14515,14825)",0.0008599827040798757,3
14822,14976,"(14822,14976)",0.0008495127826000081,3
14513,14513,"(14513,14513)",0.0008463464616020114,3
14822,14515,"(14822,14515)",0.0008419877317929835,3
14976,14823,"(14976,14823)",0.0008410207397145171,3
14823,17752,"(14823,17752)",0.0008408324605877548,3
14515,14979,"(14515,14979)",0.0008403913403833419,3
14977,14516,"(14977,14516)",0.0008356515013274,3
14824,14517,"(14824,14517)",0.0008347793240416266,3
14669,15285,"(14669,15285)",0.0008345657295921895,3
14977,14825,"(14977,14825)",0.0008287680332935706,3
1467,15128,"(1467,15128)",0.0008276336858115223,3
14979,14978,"(14979,14978)",0.0008259179645709741,3
14667,14824,"(14667,14824)",0.0008252805728238494,3
14516,17752,"(14516,17752)",0.0008236511094824445,3
15285,1467,"(15285,1467)",0.0008218299991190284,3
14825,14977,"(14825,14977)",0.0008184596956834452,3
14821,14669,"(14821,14669)",0.0008158754999550862,3
14821,14821,"(14821,14821)",0.0008131939916838645,3
14821,14977,"(14821,14977)",0.0008113055685904714,3
15283,15283,"(15283,15283)",0.0008112789921448742,3
14516,14979,"(14516,14979)",0.0008105516498482034,3
