,p0,p1,p2,p3,p4,trips0,trips1,trips2,trips3,trips4,date,hour,doc_id
322,0.0,0.18711640620202064,0.024461070816618517,0.7858235213289277,0.0,0.0,452.63458660268793,59.17133030540019,1900.9070980946763,0.0,2013-10-04,10,322
323,0.0,0.0,0.0453704605184995,0.9513554979727193,0.0,0.0,0.0,102.26501800869788,2144.3552924305095,0.0,2013-10-04,11,323
324,0.1528947503615509,0.0,0.05533501409379932,0.7893710662170078,0.0,366.94740086772214,0.0,132.80403382511835,1894.4905589208188,0.0,2013-10-04,12,324
325,0.0,0.3045523685914212,0.04298854233040673,0.6501757633159215,0.0,0.0,696.8158193371718,98.35778485197059,1487.6021464668283,0.0,2013-10-04,13,325
326,0.0,0.0,0.07743820022229427,0.9001214651010511,0.020631755788917745,0.0,0.0,193.28574775484648,2246.7031768922234,51.49686244913869,2013-10-04,14,326
327,0.0,0.0,0.16710252430937175,0.8298746329435377,0.0,0.0,0.0,370.4662963938772,1839.8320612358232,0.0,2013-10-04,15,327
328,0.0,0.46515498245517134,0.0,0.525711982682968,0.0,0.0,795.8801749807982,0.0,899.4932023705583,0.0,2013-10-04,16,328
329,0.0,0.0,0.4429087114391019,0.5544657059304028,0.0,0.0,0.0,1024.0049408472034,1281.9247121110911,0.0,2013-10-04,17,329
330,0.0,0.05604639402008046,0.4092948874314143,0.4599310175994621,0.07388859855213246,0.0,163.7675633266751,1195.9596610745925,1343.9184334256283,215.90248496933106,2013-10-04,18,330
331,0.0,0.0,0.7304428419338997,0.26749815840059393,0.0,0.0,0.0,2452.0966203721014,897.9913177507939,0.0,2013-10-04,19,331
332,0.0,0.2470834261086805,0.6941640960155894,0.02134305617880553,0.03681382194509679,0.0,790.9140469738863,2222.0192713459014,68.3191228283565,117.84104404625482,2013-10-04,20,332
333,0.0,0.18478399259161385,0.71596293745193,0.0,0.09746375226978536,0.0,577.2651928562017,2236.668216599829,0.0,304.4767620908095,2013-10-04,21,333
334,0.0,0.0,0.7822684984248277,0.023748985859159293,0.1928724281662894,0.0,0.0,2505.606000454723,76.06800170688722,617.770387416625,2013-10-04,22,334
335,0.0,0.0,0.5755721576195376,0.0,0.42201589430110303,0.0,0.0,1858.522496953487,0.0,1362.6893226982618,2013-10-04,23,335
336,0.0,0.0,0.21822416781278003,0.0,0.7774673855453859,0.0,0.0,231.31761788154682,0.0,824.115428678109,2013-10-01,0,336
337,0.0,0.0,0.33144979062793245,0.0,0.6627252898257626,0.0,0.0,200.1956735392712,0.0,400.2860750547606,2013-10-01,1,337
338,0.0,0.0,0.01774160030702424,0.014234986322617849,0.9599969894039214,0.0,0.0,6.8482577185113565,5.49470472053049,370.5588379099137,2013-10-01,2,338
339,0.0,0.0,0.03942733357627185,0.028428148553689612,0.9184700155399483,0.0,0.0,11.039653401356118,7.9598815950330915,257.1716043511855,2013-10-01,3,339
340,0.0,0.0,0.0,0.2823511925379006,0.7064298910127913,0.0,0.0,0.0,76.23482198523315,190.73607057345365,2013-10-01,4,340
341,0.0,0.0,0.0,0.6862354703972788,0.3040385283075793,0.0,0.0,0.0,304.6885488563918,134.99310656856522,2013-10-01,5,341
342,0.0,0.13235980114595075,0.0,0.862319105395514,0.0,0.0,156.31692515336783,0.0,1018.3988634721021,0.0,2013-10-01,6,342
343,0.0,0.0,0.0,0.9963737416202305,0.0,0.0,0.0,0.0,2278.706747085467,0.0,2013-10-01,7,343
344,0.07129025039774825,0.0,0.0,0.9250512042688371,0.0,179.65143100232558,0.0,0.0,2331.1290347574695,0.0,2013-10-01,8,344
