orig,dest,pair,prob,topic
916,101,"(916,101)",0.0024069610198268775,2
87,1009,"(87,1009)",0.002230300432119867,2
775,961,"(775,961)",0.002175724264898241,2
868,101,"(868,101)",0.002098933602001379,2
869,101,"(869,101)",0.0019781829184114335,2
821,635,"(821,635)",0.0019052301751176911,2
1102,1009,"(1102,1009)",0.0018801335737833188,2
775,635,"(775,635)",0.0018636330351050974,2
822,635,"(822,635)",0.001821535339156405,2
915,681,"(915,681)",0.0017676973150963908,2
915,1056,"(915,1056)",0.0017153356489122298,2
728,634,"(728,634)",0.0016836846646809908,2
101,961,"(101,961)",0.001680574908989288,2
867,1009,"(867,1009)",0.0016751878098146557,2
87,963,"(87,963)",0.0016373818418766888,2
1009,73,"(1009,73)",0.0016362435841103392,2
774,961,"(774,961)",0.0016357601394847595,2
73,1009,"(73,1009)",0.0016115464141923802,2
961,73,"(961,73)",0.0016096223063035054,2
914,728,"(914,728)",0.001601862245475695,2
775,1009,"(775,1009)",0.0015671422672528222,2
1009,1059,"(1009,1059)",0.0015551364868791817,2
961,728,"(961,728)",0.0015438810993721663,2
821,963,"(821,963)",0.00154296922949881,2
822,731,"(822,731)",0.0015268145293837396,2
777,1009,"(777,1009)",0.001519131374044162,2
775,87,"(775,87)",0.001513882360496343,2
961,1056,"(961,1056)",0.0015111221216750556,2
961,774,"(961,774)",0.001463088044731131,2
776,961,"(776,961)",0.001440467556646275,2
822,682,"(822,682)",0.0014239342664713994,2
961,777,"(961,777)",0.0014052949354375834,2
821,683,"(821,683)",0.0013951970629501062,2
914,681,"(914,681)",0.0013909809620000144,2
822,101,"(822,101)",0.0013907412341988752,2
869,731,"(869,731)",0.0013892520509223032,2
775,1008,"(775,1008)",0.0013859701703974132,2
776,914,"(776,914)",0.0013848198570328909,2
962,775,"(962,775)",0.0013658009678319755,2
823,727,"(823,727)",0.0013618563578244418,2
1056,961,"(1056,961)",0.0013528656501728758,2
962,774,"(962,774)",0.0013510186415601312,2
774,1009,"(774,1009)",0.0013404724307847788,2
1008,777,"(1008,777)",0.0013227499078421374,2
1008,73,"(1008,73)",0.0013206401145829795,2
914,73,"(914,73)",0.001304877657952979,2
868,1056,"(868,1056)",0.0013011899026601655,2
962,728,"(962,728)",0.001297994605986304,2
914,777,"(914,777)",0.001283037287549919,2
868,727,"(868,727)",0.0012790456120547506,2
914,1056,"(914,1056)",0.0012766315012622581,2
963,101,"(963,101)",0.0012762181669293425,2
73,684,"(73,684)",0.0012636320325412373,2
728,914,"(728,914)",0.001261005599899014,2
961,82,"(961,82)",0.001254137342287157,2
1055,821,"(1055,821)",0.0012507958311149885,2
916,1056,"(916,1056)",0.0012374777557214378,2
728,962,"(728,962)",0.0012348586228755614,2
73,637,"(73,637)",0.0012341508002381924,2
73,961,"(73,961)",0.001231087516972034,2
962,681,"(962,681)",0.0012227933094787545,2
1008,774,"(1008,774)",0.001221094239236791,2
73,914,"(73,914)",0.0012086437464678239,2
867,916,"(867,916)",0.001207104145058831,2
774,73,"(774,73)",0.0011962844755918287,2
823,101,"(823,101)",0.0011919457473476096,2
1056,1008,"(1056,1008)",0.001182004730088782,2
869,1056,"(869,1056)",0.0011789890638443015,2
87,961,"(87,961)",0.0011601147929230845,2
777,914,"(777,914)",0.0011510550088273098,2
